listing_id,price,zone,avg_sharpness,avg_brightness,avg_resolution,avg_filesize_kb,price_q
107272171,1300,Norte,129.74884893243683,132.0679026275508,2117930.0,161.2064453125,Budget
107277747,1200,Oeste,173.4020432993097,109.26466905966768,1401980.0,112.488671875,Budget
107280706,2600,Centro,196.75004612918147,135.28351761666465,1956080.0,198.3896484375,Mid-High
107425390,3000,Salamanca-Retiro,303.1960926294716,188.35322319040847,1145060.0,87.15869140625,Premium
107454473,4000,Periferia Norte,470.54589301293345,126.59959248004574,1516905.0,115.53115234375,Premium
107465225,3000,Salamanca-Retiro,182.95301181765666,123.96065204856936,2250230.0,179.89638671875,Premium
107559336,795,Sur-Sureste,100.3541049785841,126.57599454119031,2062787.5,155.57275390625,Budget
107603018,1475,Oeste,625.464046954233,155.14537856926262,1289480.0,154.66689453125,Low-Mid
107603484,1080,Sur-Sureste,191.90456505536815,184.26608982235192,1146195.0,71.06875,Budget
107620273,4500,Salamanca-Retiro,256.9479212541864,177.9719464750688,1896045.0,146.84365234375,Premium
107626617,2500,Chamberí,625.3983126032123,122.521314402275,2229000.0,220.4892578125,Mid-High
107676908,4800,Norte,300.67189012709184,130.40262857769685,2250230.0,209.87607421875,Premium
107691458,2500,Chamberí,192.81972667489677,127.70857980268404,1289480.0,122.5419921875,Mid-High
107711044,1300,Norte,204.10135918065393,118.39547597110773,1744805.0,123.31376953125,Budget
107734015,1100,Sur-Sureste,278.13225278992036,154.9987555999865,1145060.0,100.68671875,Budget
107735992,1376,Chamberí,363.4327063082006,171.45189053398693,1708695.0,151.51669921875,Low-Mid
107740380,1578,Chamberí,965.5076465849273,198.4648341580675,1149550.0,108.98837890625,Low-Mid
107747705,1150,Centro,778.9274183415132,189.12269246351983,1542680.0,163.49111328125,Budget
107748278,1900,Salamanca-Retiro,240.4472522407189,156.2465751821614,2097980.0,135.29853515625,Mid-High
107781552,2000,Chamberí,455.65156741796164,112.75757832863367,1146195.0,100.5630859375,Mid-High
107784640,700,Periferia Norte,539.1711551398873,171.82400539971792,2257020.0,220.0005859375,Budget
107811192,1550,Norte,364.0693850440957,132.87028604081948,2350580.0,264.49453125,Low-Mid
107811343,1850,Centro,585.44479650028,157.8277264641588,1498390.0,196.89443359375,Mid-High
107812425,8000,Chamberí,627.6018138879454,182.78297306092438,1333695.0,154.95830078125,Premium
107836670,2030,Chamberí,931.8381850950503,131.5971201349673,1146195.0,173.0556640625,Mid-High
107837957,2200,Chamberí,902.83084576326,142.11123089913332,1289480.0,190.4890625,Mid-High
107838630,1800,Chamberí,133.54892377392002,131.37179381033047,1289480.0,104.71240234375,Low-Mid
107875387,3600,Chamberí,228.58887027894758,193.313086487867,1146195.0,99.400390625,Premium
107886540,1200,Norte,350.78184815118544,170.84189886038106,1143890.0,75.70927734375,Budget
107902407,1500,Centro,319.8749053101091,147.93696031767817,1146195.0,132.03017578125,Low-Mid
107941458,1200,Norte,486.4836207606856,115.87889815019193,1146195.0,107.06533203125,Budget
107969457,770,Salamanca-Retiro,508.40823117302494,128.3972778798677,1523900.0,143.28362165178572,Budget
108036872,3900,Salamanca-Retiro,444.4127437447557,135.8753025838452,1289480.0,117.35234375,Premium
108044062,1200,Periferia Norte,410.6569471195623,186.5716799620863,1333695.0,100.8130859375,Budget
108070376,990,Periferia Norte,810.7704999205698,150.01981064649914,1725230.0,205.7302734375,Budget
108070861,2000,Centro,976.8207107388198,137.8449882703014,1420730.0,194.754296875,Mid-High
108077002,7400,Chamberí,227.9276313147403,196.90676716243385,1363695.0,88.72265625,Premium
108101624,1865,Salamanca-Retiro,527.879646398566,181.81834082157206,1144095.0,110.7150390625,Mid-High
108111436,1100,Periferia Norte,269.2973709970422,167.79747645120474,2250230.0,221.9244140625,Budget
108187159,1800,Arganzuela,513.5440398818434,126.824007120914,2250230.0,233.22353515625,Low-Mid
108207625,2200,Chamberí,172.091382784318,141.9656252825039,2242430.0,160.36298828125,Mid-High
108228405,3150,Oeste,1022.7790552280003,148.25572133043642,1148500.0,133.16025390625,Premium
108294896,1500,Salamanca-Retiro,741.4706011036203,131.4865208329379,1289480.0,154.00849609375,Low-Mid
108310688,1299,Sur-Sureste,230.70803771097653,132.21513605068864,2350130.0,156.60869140625,Budget
108330861,1265,Sur-Sureste,432.62208269206656,156.06463624959537,1146195.0,112.4533203125,Budget
108342030,1550,Centro,525.9404139007212,172.794549709446,1146195.0,101.73916015625,Low-Mid
108349208,1450,Norte,999.2969334692576,139.72523909907184,1289480.0,180.04248046875,Low-Mid
108402503,1400,Centro,230.76757604272285,167.89224632271805,1114955.0,78.17109375,Low-Mid
108426640,2300,Centro,406.2840268728023,132.00468361061985,1511445.0,159.44189453125,Mid-High
108452910,1150,Sur-Sureste,502.72967722591545,138.413061682797,1672090.0,165.64052734375,Budget
108462805,1150,Chamberí,1343.1184307817318,129.00807022537182,1461633.3333333333,203.41227213541666,Budget
108473556,3000,Salamanca-Retiro,219.7479085630413,137.5295948724353,2250230.0,184.14189453125,Premium
108487143,1400,Chamberí,786.8076756048717,117.06606857923141,1332725.0,185.40283203125,Low-Mid
108499886,1900,Norte,239.56340451850573,195.5156169072298,2071620.0,150.33154296875,Mid-High
108521332,1000,Salamanca-Retiro,569.4609470146939,147.8361727542709,1945730.0,188.82216796875,Budget
108533798,1840,Norte,232.2724506557986,134.86577296135573,2649830.0,219.26357421875,Mid-High
108572502,2500,Oeste,1390.8727704855687,153.97110662531387,1189695.0,171.61240234375,Mid-High
108613875,1690,Oeste,721.8775349393707,168.631070050166,1146195.0,138.55634765625,Low-Mid
108640300,2400,Chamberí,1123.009220778447,163.56290904757236,1146195.0,171.26455078125,Mid-High
108643920,3200,Centro,1233.477174838832,152.20398806192034,1333695.0,194.24169921875,Premium
108661379,3850,Oeste,321.5265918288716,185.1203455705501,1141515.0,72.90810546875,Premium
108669155,1600,Chamberí,278.37955822640265,133.28625477462157,1284230.0,110.18671875,Low-Mid
108731323,5500,Salamanca-Retiro,336.59456908237047,186.98053225522875,1146195.0,100.4162109375,Premium
108818962,2350,Centro,477.9363894626831,135.96673009841942,1928700.0,240.5677734375,Mid-High
108843135,1700,Centro,792.7115352515015,148.92630904934123,1146195.0,129.88349609375,Low-Mid
108878440,1950,Oeste,300.7752492488037,196.3459133481702,1146945.0,95.066015625,Mid-High
108899798,1500,Chamberí,1139.707707298504,135.28646332667034,1289480.0,170.926953125,Low-Mid
108923999,1100,Chamberí,126.28848524012653,143.86091231618917,1983065.0,88.84794921875,Budget
108925846,2100,Centro,420.0170821195885,182.09609404482129,1133400.0,94.5400390625,Mid-High
108952936,1670,Norte,482.1007053041447,142.23265171686896,1146195.0,111.17373046875,Low-Mid
108981567,750,Sur-Sureste,425.5794993124141,144.78874088532382,1289480.0,119.760546875,Budget
108983331,2650,Arganzuela,1356.5112505239651,173.43627661665514,1148500.0,122.88173828125,Mid-High
108994170,750,Centro,218.50031174897435,133.1535808881082,1708412.5,165.5714111328125,Budget
